"DATA","TIPO","MATERIA","ATTIVITA'","POMODORI","IMPREVISTI"
"12/5/2020","STUDIO","ED. FISICA","TEORIA","1","0"
"12/5/2020","STUDIO","FISICA","TEORIA","1","0"
"12/6/2020","STUDIO","FISICA","TEORIA","1","0"
"12/7/2020","STUDIO","FILOSOFIA","TEORIA","2","0"
"12/7/2020","STUDIO","ITALIANO","TEORIA","6","0"
"12/8/2020","STUDIO","ITALIANO","TEORIA","2","0"
"12/8/2020","STUDIO","FILOSOFIA","TEORIA","3","0"
"12/9/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"12/9/2020","STUDIO","ITALIANO","TEORIA","1","1"
"12/9/2020","STUDIO","RELIGIONE","TEORIA","2","0"
"12/9/2020","STUDIO","FILOSOFIA","TEORIA","2","0"
"12/10/2020","STUDIO","ITALIANO","TEORIA","4","1"
"12/10/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"12/11/2020","STUDIO","FISICA","TEORIA","1","0"
"12/12/2020","STUDIO","FISICA","TEORIA","1","0"
"12/12/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"12/13/2020","STUDIO","ED. FISICA","TEORIA","3","0"
"12/14/2020","STUDIO","ED. FISICA","TEORIA","3","0"
"12/14/2020","STUDIO","FISICA","TEORIA","1","0"
"12/15/2020","STUDIO","FISICA","TEORIA","1","0"
"12/15/2020","STUDIO","MATEMATICA","TEORIA","3","0"
"12/16/2020","STUDIO","SCIENZE","TEORIA","3","0"
"12/17/2020","STUDIO","SCIENZE","TEORIA","3","0"
"12/18/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"12/18/2020","STUDIO","SCIENZE","TEORIA","2","0"
"12/19/2020","STUDIO","MATEMATICA","TEORIA","1","0"
"12/19/2020","STUDIO","LATINO","TEORIA","1","0"
"12/20/2020","STUDIO","LATINO","TEORIA","1","0"
"12/21/2020","NO STUDIO","","","0",""
"12/22/2020","NO STUDIO","","","0",""
"12/23/2020","NO STUDIO","","","0",""
"12/24/2020","STUDIO","SCIENZE","TEORIA","1","0"
"12/24/2020","STUDIO","FISICA","TEORIA","1","0"
"12/25/2020","NO STUDIO","","","0",""
"12/26/2020","NO STUDIO","","","0",""
"12/27/2020","STUDIO","SCIENZE","TEORIA","1","0"
"12/27/2020","STUDIO","MATEMATICA","ESERCIZI","2","0"
"12/27/2020","STUDIO","SCIENZE","TEORIA","1","0"
"12/28/2020","NO STUDIO","","","0",""
"12/29/2020","STUDIO","SCIENZE","TEORIA","1","0"
"12/30/2020","STUDIO","SCIENZE","TEORIA","2","0"
"12/30/2020","STUDIO","MATEMATICA","ESERCIZI","2","0"
"12/31/2020","NO STUDIO","","","0",""
"1/1/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"1/1/2021","STUDIO","FISICA","TEORIA","3","0"
"1/2/2021","STUDIO","SCIENZE","TEORIA","2","0"
"1/2/2021","STUDIO","FISICA","ESERCIZI","4","0"
"1/2/2021","STUDIO","ITALIANO","ESERCIZI","2","0"
"1/3/2021","STUDIO","MATEMATICA","ESERCIZI","8","1"
"1/4/2021","STUDIO","LATINO","TEORIA","2","0"
"1/4/2021","STUDIO","INGLESE","TEORIA","5","1"
"1/5/2021","STUDIO","INGLESE","TEORIA","1","0"
"1/5/2021","STUDIO","SCIENZE","ESERCIZI","6","2"
"1/6/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"1/6/2021","STUDIO","ITALIANO","TEORIA","4","0"
"1/7/2021","STUDIO","ITALIANO","TEORIA","2","0"
"1/7/2021","STUDIO","FISICA","ESERCIZI","6","0"
"1/8/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"1/8/2021","STUDIO","ARTE","TEORIA","2","0"
"1/9/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"1/10/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"1/10/2021","STUDIO","ARTE","TEORIA","1","0"
"1/11/2021","STUDIO","MATEMATICA","ESERCIZI","3","0"
"1/11/2021","STUDIO","LATINO","TEORIA","2","0"
"1/12/2021","STUDIO","MATEMATICA","ESERCIZI","6","0"
"1/13/2021","STUDIO","SCIENZE","TEORIA","6","0"
"1/14/2021","STUDIO","ITALIANO","TEORIA","3","2"
"1/15/2021","STUDIO","SCIENZE","ESERCIZI","4","1"
"1/16/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"1/16/2021","STUDIO","LATINO","TEORIA","1","1"
"1/16/2021","STUDIO","ARTE","TEORIA","1","0"
